nu,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19,u_20,u_21,u_22,u_23,u_24
0.001,0.000761594156,0.0005385283922,4.663419227e-20,-0.0005385283922,-0.000761594156,0.001300122548,0.001077056784,0.0005385283922,8.455393674e-20,-0.0002230657638,0.001523188312,0.001300122548,0.000761594156,0.0002230657638,0,0.001300122548,0.001077056784,0.0005385283922,8.455393674e-20,-0.0002230657638,0.000761594156,0.0005385283922,1.399025768e-19,-0.0005385283922,-0.000761594156
0.002,0.001523188312,0.001077056784,9.326838453e-20,-0.001077056784,-0.001523188312,0.002600245096,0.002154113569,0.001077056784,1.691078735e-19,-0.0004461315275,0.003046376624,0.002600245096,0.001523188312,0.0004461315275,0,0.002600245096,0.002154113569,0.001077056784,1.691078735e-19,-0.0004461315275,0.001523188312,0.001077056784,2.798051536e-19,-0.001077056784,-0.001523188312
0.003,0.002284782468,0.001615585177,1.399025768e-19,-0.001615585177,-0.002284782468,0.003900367644,0.003231170353,0.001615585177,2.536618102e-19,-0.0006691972913,0.004569564936,0.003900367644,0.002284782468,0.0006691972913,0,0.003900367644,0.003231170353,0.001615585177,2.536618102e-19,-0.0006691972913,0.002284782468,0.001615585177,4.197077304e-19,-0.001615585177,-0.002284782468
0.004,0.003046376624,0.002154113569,1.865367691e-19,-0.002154113569,-0.003046376624,0.005200490193,0.004308227138,0.002154113569,3.382157469e-19,-0.0008922630551,0.006092753248,0.005200490193,0.003046376624,0.0008922630551,0,0.005200490193,0.004308227138,0.002154113569,3.382157469e-19,-0.0008922630551,0.003046376624,0.002154113569,5.596103072e-19,-0.002154113569,-0.003046376624
0.005,0.00380797078,0.002692641961,2.331709613e-19,-0.002692641961,-0.00380797078,0.006500612741,0.005385283922,0.002692641961,4.227696837e-19,-0.001115328819,0.00761594156,0.006500612741,0.00380797078,0.001115328819,0,0.006500612741,0.005385283922,0.002692641961,4.227696837e-19,-0.001115328819,0.00380797078,0.002692641961,6.99512884e-19,-0.002692641961,-0.00380797078
0.006,0.004569564936,0.003231170353,2.798051536e-19,-0.003231170353,-0.004569564936,0.007800735289,0.006462340706,0.003231170353,5.073236204e-19,-0.001338394583,0.009139129871,0.007800735289,0.004569564936,0.001338394583,0,0.007800735289,0.006462340706,0.003231170353,5.073236204e-19,-0.001338394583,0.004569564936,0.003231170353,8.394154608e-19,-0.003231170353,-0.004569564936
0.007,0.005331159092,0.003769698745,3.264393459e-19,-0.003769698745,-0.005331159092,0.009100857837,0.007539397491,0.003769698745,5.918775572e-19,-0.001561460346,0.01066231818,0.009100857837,0.005331159092,0.001561460346,0,0.009100857837,0.007539397491,0.003769698745,5.918775572e-19,-0.001561460346,0.005331159092,0.003769698745,9.793180376e-19,-0.003769698745,-0.005331159092
0.008,0.006092753248,0.004308227138,3.730735381e-19,-0.004308227138,-0.006092753248,0.01040098039,0.008616454275,0.004308227138,6.764314939e-19,-0.00178452611,0.0121855065,0.01040098039,0.006092753248,0.00178452611,0,0.01040098039,0.008616454275,0.004308227138,6.764314939e-19,-0.00178452611,0.006092753248,0.004308227138,1.119220614e-18,-0.004308227138,-0.006092753248
0.009,0.006854347404,0.00484675553,4.197077304e-19,-0.00484675553,-0.006854347404,0.01170110293,0.009693511059,0.00484675553,7.609854306e-19,-0.002007591874,0.01370869481,0.01170110293,0.006854347404,0.002007591874,0,0.01170110293,0.009693511059,0.00484675553,7.609854306e-19,-0.002007591874,0.006854347404,0.00484675553,1.259123191e-18,-0.00484675553,-0.006854347404
0.01,0.00761594156,0.005385283922,4.663419227e-19,-0.005385283922,-0.00761594156,0.01300122548,0.01077056784,0.005385283922,8.455393674e-19,-0.002230657638,0.01523188312,0.01300122548,0.00761594156,0.002230657638,0,0.01300122548,0.01077056784,0.005385283922,8.455393674e-19,-0.002230657638,0.00761594156,0.005385283922,1.399025768e-18,-0.005385283922,-0.00761594156
0.011,0.008377535716,0.005923812314,5.129761149e-19,-0.005923812314,-0.008377535716,0.01430134803,0.01184762463,0.005923812314,9.300933041e-19,-0.002453723401,0.01675507143,0.01430134803,0.008377535716,0.002453723401,0,0.01430134803,0.01184762463,0.005923812314,9.300933041e-19,-0.002453723401,0.008377535716,0.005923812314,1.538928345e-18,-0.005923812314,-0.008377535716
0.012,0.009139129871,0.006462340706,5.596103072e-19,-0.006462340706,-0.009139129871,0.01560147058,0.01292468141,0.006462340706,1.014647241e-18,-0.002676789165,0.01827825974,0.01560147058,0.009139129871,0.002676789165,0,0.01560147058,0.01292468141,0.006462340706,1.014647241e-18,-0.002676789165,0.009139129871,0.006462340706,1.678830922e-18,-0.006462340706,-0.009139129871
0.013,0.009900724027,0.007000869098,6.062444995e-19,-0.007000869098,-0.009900724027,0.01690159313,0.0140017382,0.007000869098,1.099201178e-18,-0.002899854929,0.01980144805,0.01690159313,0.009900724027,0.002899854929,0,0.01690159313,0.0140017382,0.007000869098,1.099201178e-18,-0.002899854929,0.009900724027,0.007000869098,1.818733498e-18,-0.007000869098,-0.009900724027
0.014,0.01066231818,0.007539397491,6.528786917e-19,-0.007539397491,-0.01066231818,0.01820171567,0.01507879498,0.007539397491,1.183755114e-18,-0.003122920693,0.02132463637,0.01820171567,0.01066231818,0.003122920693,0,0.01820171567,0.01507879498,0.007539397491,1.183755114e-18,-0.003122920693,0.01066231818,0.007539397491,1.958636075e-18,-0.007539397491,-0.01066231818
0.015,0.01142391234,0.008077925883,6.99512884e-19,-0.008077925883,-0.01142391234,0.01950183822,0.01615585177,0.008077925883,1.268309051e-18,-0.003345986457,0.02284782468,0.01950183822,0.01142391234,0.003345986457,0,0.01950183822,0.01615585177,0.008077925883,1.268309051e-18,-0.003345986457,0.01142391234,0.008077925883,2.098538652e-18,-0.008077925883,-0.01142391234
0.016,0.0121855065,0.008616454275,7.461470763e-19,-0.008616454275,-0.0121855065,0.02080196077,0.01723290855,0.008616454275,1.352862988e-18,-0.00356905222,0.02437101299,0.02080196077,0.0121855065,0.00356905222,0,0.02080196077,0.01723290855,0.008616454275,1.352862988e-18,-0.00356905222,0.0121855065,0.008616454275,2.238441229e-18,-0.008616454275,-0.0121855065
0.017,0.01294710065,0.009154982667,7.927812685e-19,-0.009154982667,-0.01294710065,0.02210208332,0.01830996533,0.009154982667,1.437416925e-18,-0.003792117984,0.0258942013,0.02210208332,0.01294710065,0.003792117984,0,0.02210208332,0.01830996533,0.009154982667,1.437416925e-18,-0.003792117984,0.01294710065,0.009154982667,2.378343806e-18,-0.009154982667,-0.01294710065
0.018,0.01370869481,0.009693511059,8.394154608e-19,-0.009693511059,-0.01370869481,0.02340220587,0.01938702212,0.009693511059,1.521970861e-18,-0.004015183748,0.02741738961,0.02340220587,0.01370869481,0.004015183748,0,0.02340220587,0.01938702212,0.009693511059,1.521970861e-18,-0.004015183748,0.01370869481,0.009693511059,2.518246382e-18,-0.009693511059,-0.01370869481
0.019,0.01447028896,0.01023203945,8.860496531e-19,-0.01023203945,-0.01447028896,0.02470232841,0.0204640789,0.01023203945,1.606524798e-18,-0.004238249512,0.02894057793,0.02470232841,0.01447028896,0.004238249512,0,0.02470232841,0.0204640789,0.01023203945,1.606524798e-18,-0.004238249512,0.01447028896,0.01023203945,2.658148959e-18,-0.01023203945,-0.01447028896
0.02,0.01523188312,0.01077056784,9.326838453e-19,-0.01077056784,-0.01523188312,0.02600245096,0.02154113569,0.01077056784,1.691078735e-18,-0.004461315275,0.03046376624,0.02600245096,0.01523188312,0.004461315275,0,0.02600245096,0.02154113569,0.01077056784,1.691078735e-18,-0.004461315275,0.01523188312,0.01077056784,2.798051536e-18,-0.01077056784,-0.01523188312
0.021,0.01599347728,0.01130909624,9.793180376e-19,-0.01130909624,-0.01599347728,0.02730257351,0.02261819247,0.01130909624,1.775632671e-18,-0.004684381039,0.03198695455,0.02730257351,0.01599347728,0.004684381039,0,0.02730257351,0.02261819247,0.01130909624,1.775632671e-18,-0.004684381039,0.01599347728,0.01130909624,2.937954113e-18,-0.01130909624,-0.01599347728
0.022,0.01675507143,0.01184762463,1.02595223e-18,-0.01184762463,-0.01675507143,0.02860269606,0.02369524926,0.01184762463,1.860186608e-18,-0.004907446803,0.03351014286,0.02860269606,0.01675507143,0.004907446803,0,0.02860269606,0.02369524926,0.01184762463,1.860186608e-18,-0.004907446803,0.01675507143,0.01184762463,3.07785669e-18,-0.01184762463,-0.01675507143
0.023,0.01751666559,0.01238615302,1.072586422e-18,-0.01238615302,-0.01751666559,0.02990281861,0.02477230604,0.01238615302,1.944740545e-18,-0.005130512567,0.03503333117,0.02990281861,0.01751666559,0.005130512567,0,0.02990281861,0.02477230604,0.01238615302,1.944740545e-18,-0.005130512567,0.01751666559,0.01238615302,3.217759266e-18,-0.01238615302,-0.01751666559
0.024,0.01827825974,0.01292468141,1.119220614e-18,-0.01292468141,-0.01827825974,0.03120294116,0.02584936283,0.01292468141,2.029294482e-18,-0.00535357833,0.03655651949,0.03120294116,0.01827825974,0.00535357833,0,0.03120294116,0.02584936283,0.01292468141,2.029294482e-18,-0.00535357833,0.01827825974,0.01292468141,3.357661843e-18,-0.01292468141,-0.01827825974
0.025,0.0190398539,0.0134632098,1.165854807e-18,-0.0134632098,-0.0190398539,0.0325030637,0.02692641961,0.0134632098,2.113848418e-18,-0.005576644094,0.0380797078,0.0325030637,0.0190398539,0.005576644094,0,0.0325030637,0.02692641961,0.0134632098,2.113848418e-18,-0.005576644094,0.0190398539,0.0134632098,3.49756442e-18,-0.0134632098,-0.0190398539
0.026,0.01980144805,0.0140017382,1.212488999e-18,-0.0140017382,-0.01980144805,0.03380318625,0.02800347639,0.0140017382,2.198402355e-18,-0.005799709858,0.03960289611,0.03380318625,0.01980144805,0.005799709858,0,0.03380318625,0.02800347639,0.0140017382,2.198402355e-18,-0.005799709858,0.01980144805,0.0140017382,3.637466997e-18,-0.0140017382,-0.01980144805
0.027,0.02056304221,0.01454026659,1.259123191e-18,-0.01454026659,-0.02056304221,0.0351033088,0.02908053318,0.01454026659,2.282956292e-18,-0.006022775622,0.04112608442,0.0351033088,0.02056304221,0.006022775622,0,0.0351033088,0.02908053318,0.01454026659,2.282956292e-18,-0.006022775622,0.02056304221,0.01454026659,3.777369574e-18,-0.01454026659,-0.02056304221
0.028,0.02132463637,0.01507879498,1.305757383e-18,-0.01507879498,-0.02132463637,0.03640343135,0.03015758996,0.01507879498,2.367510229e-18,-0.006245841385,0.04264927273,0.03640343135,0.02132463637,0.006245841385,0,0.03640343135,0.03015758996,0.01507879498,2.367510229e-18,-0.006245841385,0.02132463637,0.01507879498,3.91727215e-18,-0.01507879498,-0.02132463637
0.029,0.02208623052,0.01561732337,1.352391576e-18,-0.01561732337,-0.02208623052,0.0377035539,0.03123464675,0.01561732337,2.452064165e-18,-0.006468907149,0.04417246105,0.0377035539,0.02208623052,0.006468907149,0,0.0377035539,0.03123464675,0.01561732337,2.452064165e-18,-0.006468907149,0.02208623052,0.01561732337,4.057174727e-18,-0.01561732337,-0.02208623052
0.03,0.02284782468,0.01615585177,1.399025768e-18,-0.01615585177,-0.02284782468,0.03900367644,0.03231170353,0.01615585177,2.536618102e-18,-0.006691972913,0.04569564936,0.03900367644,0.02284782468,0.006691972913,0,0.03900367644,0.03231170353,0.01615585177,2.536618102e-18,-0.006691972913,0.02284782468,0.01615585177,4.197077304e-18,-0.01615585177,-0.02284782468
0.031,0.02360941883,0.01669438016,1.44565996e-18,-0.01669438016,-0.02360941883,0.04030379899,0.03338876032,0.01669438016,2.621172039e-18,-0.006915038677,0.04721883767,0.04030379899,0.02360941883,0.006915038677,0,0.04030379899,0.03338876032,0.01669438016,2.621172039e-18,-0.006915038677,0.02360941883,0.01669438016,4.336979881e-18,-0.01669438016,-0.02360941883
0.032,0.02437101299,0.01723290855,1.492294153e-18,-0.01723290855,-0.02437101299,0.04160392154,0.0344658171,0.01723290855,2.705725976e-18,-0.007138104441,0.04874202598,0.04160392154,0.02437101299,0.007138104441,0,0.04160392154,0.0344658171,0.01723290855,2.705725976e-18,-0.007138104441,0.02437101299,0.01723290855,4.476882458e-18,-0.01723290855,-0.02437101299
0.033,0.02513260715,0.01777143694,1.538928345e-18,-0.01777143694,-0.02513260715,0.04290404409,0.03554287388,0.01777143694,2.790279912e-18,-0.007361170204,0.05026521429,0.04290404409,0.02513260715,0.007361170204,0,0.04290404409,0.03554287388,0.01777143694,2.790279912e-18,-0.007361170204,0.02513260715,0.01777143694,4.616785034e-18,-0.01777143694,-0.02513260715
0.034,0.0258942013,0.01830996533,1.585562537e-18,-0.01830996533,-0.0258942013,0.04420416664,0.03661993067,0.01830996533,2.874833849e-18,-0.007584235968,0.0517884026,0.04420416664,0.0258942013,0.007584235968,0,0.04420416664,0.03661993067,0.01830996533,2.874833849e-18,-0.007584235968,0.0258942013,0.01830996533,4.756687611e-18,-0.01830996533,-0.0258942013
0.035,0.02665579546,0.01884849373,1.632196729e-18,-0.01884849373,-0.02665579546,0.04550428919,0.03769698745,0.01884849373,2.959387786e-18,-0.007807301732,0.05331159092,0.04550428919,0.02665579546,0.007807301732,0,0.04550428919,0.03769698745,0.01884849373,2.959387786e-18,-0.007807301732,0.02665579546,0.01884849373,4.896590188e-18,-0.01884849373,-0.02665579546
0.036,0.02741738961,0.01938702212,1.678830922e-18,-0.01938702212,-0.02741738961,0.04680441173,0.03877404424,0.01938702212,3.043941723e-18,-0.008030367496,0.05483477923,0.04680441173,0.02741738961,0.008030367496,0,0.04680441173,0.03877404424,0.01938702212,3.043941723e-18,-0.008030367496,0.02741738961,0.01938702212,5.036492765e-18,-0.01938702212,-0.02741738961
0.037,0.02817898377,0.01992555051,1.725465114e-18,-0.01992555051,-0.02817898377,0.04810453428,0.03985110102,0.01992555051,3.128495659e-18,-0.008253433259,0.05635796754,0.04810453428,0.02817898377,0.008253433259,0,0.04810453428,0.03985110102,0.01992555051,3.128495659e-18,-0.008253433259,0.02817898377,0.01992555051,5.176395342e-18,-0.01992555051,-0.02817898377
0.038,0.02894057793,0.0204640789,1.772099306e-18,-0.0204640789,-0.02894057793,0.04940465683,0.04092815781,0.0204640789,3.213049596e-18,-0.008476499023,0.05788115585,0.04940465683,0.02894057793,0.008476499023,0,0.04940465683,0.04092815781,0.0204640789,3.213049596e-18,-0.008476499023,0.02894057793,0.0204640789,5.316297918e-18,-0.0204640789,-0.02894057793
0.039,0.02970217208,0.0210026073,1.818733498e-18,-0.0210026073,-0.02970217208,0.05070477938,0.04200521459,0.0210026073,3.297603533e-18,-0.008699564787,0.05940434416,0.05070477938,0.02970217208,0.008699564787,0,0.05070477938,0.04200521459,0.0210026073,3.297603533e-18,-0.008699564787,0.02970217208,0.0210026073,5.456200495e-18,-0.0210026073,-0.02970217208
0.04,0.03046376624,0.02154113569,1.865367691e-18,-0.02154113569,-0.03046376624,0.05200490193,0.04308227138,0.02154113569,3.382157469e-18,-0.008922630551,0.06092753248,0.05200490193,0.03046376624,0.008922630551,0,0.05200490193,0.04308227138,0.02154113569,3.382157469e-18,-0.008922630551,0.03046376624,0.02154113569,5.596103072e-18,-0.02154113569,-0.03046376624
