nu,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19,u_20,u_21,u_22,u_23,u_24
0.001,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.354181331,0.5821232837,-0.1056958435,-0.2230657638,1.523188312,1.579607507,0.7733197514,0.1273397857,0,1.300122548,1.315493412,0.5255470712,-0.09356820621,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.003,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.354833576,0.5825521681,-0.1055413962,-0.2230657638,1.523188312,1.580753296,0.7748067921,0.1288042073,0,1.300122548,1.317098884,0.5278803832,-0.09228066853,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.005,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.355477951,0.5829809599,-0.1053781623,-0.2230657638,1.523188312,1.581888496,0.7762831949,0.1302475192,0,1.300122548,1.318675994,0.5301585445,-0.09103361221,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.007,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.356114676,0.583409665,-0.105206701,-0.2230657638,1.523188312,1.583013162,0.7777485928,0.1316697947,0,1.300122548,1.320225352,0.5323832442,-0.089825577,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.009,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.356743961,0.583838276,-0.1050275463,-0.2230657638,1.523188312,1.584127345,0.7792026557,0.1330711302,0,1.300122548,1.321747557,0.5345561059,-0.08865516335,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.011,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.357366004,0.584266774,-0.1048412086,-0.2230657638,1.523188312,1.585231102,0.7806450874,0.1344516429,0,1.300122548,1.323243196,0.5366786919,-0.0875210296,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.013,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.357980994,0.5846951298,-0.1046481748,-0.2230657638,1.523188312,1.586324488,0.7820756235,0.1358114688,0,1.300122548,1.324712839,0.5387525052,-0.08642188919,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.015,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.35858911,0.5851233058,-0.1044489095,-0.2230657638,1.523188312,1.58740756,0.7834940294,0.1371507606,0,1.300122548,1.326157048,0.5407789925,-0.08535650815,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.017,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.359190523,0.585551257,-0.1042438558,-0.2230657638,1.523188312,1.588480374,0.784900098,0.1384696862,0,1.300122548,1.327576369,0.5427595471,-0.08432370265,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
0.019,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.359785395,0.5859789323,-0.104033436,-0.2230657638,1.523188312,1.58954299,0.7862936479,0.1397684268,0,1.300122548,1.328971337,0.5446955109,-0.08332233668,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
